race_date,track,track_code,race_no,start_time
2026-09-20,kochi,31,1,15:00
2026-09-20,kochi,31,2,15:35
2026-09-20,kochi,31,3,16:05
2026-09-20,saga,32,1,16:25
2026-09-20,kochi,31,4,16:40
2026-09-20,saga,32,2,17:00
2026-09-20,kochi,31,5,17:15
2026-09-20,saga,32,3,17:35
2026-09-20,kochi,31,6,17:45
2026-09-20,saga,32,4,18:05
2026-09-20,kochi,31,7,18:20
2026-09-20,saga,32,5,18:35
2026-09-20,kochi,31,8,18:50
2026-09-20,saga,32,6,19:05
2026-09-20,kochi,31,9,19:20
2026-09-20,saga,32,7,19:35
2026-09-20,kochi,31,10,19:50
2026-09-20,saga,32,8,20:10
2026-09-20,kochi,31,11,20:20
2026-09-20,saga,32,9,20:40
2026-09-20,kochi,31,12,20:50
