race_date,race_no,start_time,minutes_before,target_time,capture_launch_time,offset_seconds,status,output_file
2026-09-20,1,16:25,30,15:55:00,15:55:00,0.0,success,data/2026-09-20/saga_1R_m30_155500_odds.csv
2026-09-20,1,16:25,5,16:20:00,16:20:00,0.0,success,data/2026-09-20/saga_1R_m5_162000_odds.csv
2026-09-20,1,16:25,2,16:23:00,16:23:00,0.0,success,data/2026-09-20/saga_1R_m2_162300_odds.csv
2026-09-20,2,17:00,15,16:45:00,16:45:00,0.0,success,data/2026-09-20/saga_2R_m15_164500_odds.csv
2026-09-20,2,17:00,10,16:50:00,16:50:00,0.0,success,data/2026-09-20/saga_2R_m10_165000_odds.csv
2026-09-20,2,17:00,5,16:55:00,16:55:00,0.0,success,data/2026-09-20/saga_2R_m5_165500_odds.csv
2026-09-20,2,17:00,2,16:58:00,16:58:00,0.0,success,data/2026-09-20/saga_2R_m2_165800_odds.csv
2026-09-20,3,17:35,30,17:05:00,17:05:00,0.0,success,data/2026-09-20/saga_3R_m30_170500_odds.csv
2026-09-20,3,17:35,15,17:20:00,17:20:55,55.4,success,data/2026-09-20/saga_3R_m15_172055_odds.csv
2026-09-20,3,17:35,10,17:25:00,17:25:00,0.0,success,data/2026-09-20/saga_3R_m10_172500_odds.csv
2026-09-20,3,17:35,5,17:30:00,17:30:00,0.0,success,data/2026-09-20/saga_3R_m5_173000_odds.csv
2026-09-20,3,17:35,2,17:33:00,17:33:33,33.0,success,data/2026-09-20/saga_3R_m2_173333_odds.csv
2026-09-20,4,18:05,30,17:35:00,17:35:00,0.0,success,data/2026-09-20/saga_4R_m30_173500_odds.csv
2026-09-20,4,18:05,15,17:50:00,17:50:00,0.0,success,data/2026-09-20/saga_4R_m15_175000_odds.csv
2026-09-20,4,18:05,10,17:55:00,17:55:00,0.0,success,data/2026-09-20/saga_4R_m10_175500_odds.csv
2026-09-20,7,19:35,5,19:30:00,19:31:18,78.9,success,data/2026-09-20/saga_7R_m5_193118_odds.csv
2026-09-20,7,19:35,2,19:33:00,19:33:00,0.0,success,data/2026-09-20/saga_7R_m2_193300_odds.csv
2026-09-20,8,20:10,30,19:40:00,19:40:00,0.0,success,data/2026-09-20/saga_8R_m30_194000_odds.csv
2026-09-20,8,20:10,15,19:55:00,19:55:00,0.0,success,data/2026-09-20/saga_8R_m15_195500_odds.csv
2026-09-20,8,20:10,10,20:00:00,20:00:00,0.0,success,data/2026-09-20/saga_8R_m10_200000_odds.csv
2026-09-20,8,20:10,5,20:05:00,20:05:00,0.0,success,data/2026-09-20/saga_8R_m5_200500_odds.csv
2026-09-20,8,20:10,2,20:08:00,20:08:00,0.0,success,data/2026-09-20/saga_8R_m2_200800_odds.csv
2026-09-20,9,20:40,30,20:10:00,20:10:00,0.0,success,data/2026-09-20/saga_9R_m30_201000_odds.csv
2026-09-20,9,20:40,15,20:25:00,20:25:00,0.0,success,data/2026-09-20/saga_9R_m15_202500_odds.csv
2026-09-20,9,20:40,10,20:30:00,20:30:00,0.0,success,data/2026-09-20/saga_9R_m10_203000_odds.csv
2026-09-20,9,20:40,5,20:35:00,20:35:00,0.0,success,data/2026-09-20/saga_9R_m5_203500_odds.csv
2026-09-20,9,20:40,2,20:38:00,20:38:00,0.0,success,data/2026-09-20/saga_9R_m2_203800_odds.csv
