race_date,track,race_no,start_time,minutes_before,target_time,captured_at,capture_launch_time,offset_seconds,source_time,bet_type,combination,odds_low,odds_high,popularity,status,source_file,source_url
2026-09-20,saga,1,16:25,30,15:55:00,2026-09-20 15:55:00,15:55:00,0.0,15:54,ワイド,1-2,2.1,3.3,3,success,saga_1R_m30_155500_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20,saga,1,16:25,30,15:55:00,2026-09-20 15:55:00,15:55:00,0.0,15:54,ワイド,1-3,5.0,7.4,7,success,saga_1R_m30_155500_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20,saga,1,16:25,30,15:55:00,2026-09-20 15:55:00,15:55:00,0.0,15:54,ワイド,1-4,2.9,4.3,5,success,saga_1R_m30_155500_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20,saga,1,16:25,30,15:55:00,2026-09-20 15:55:00,15:55:00,0.0,15:54,ワイド,1-5,12.8,18.4,15,success,saga_1R_m30_155500_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20,saga,1,16:25,30,15:55:00,2026-09-20 15:55:00,15:55:00,0.0,15:54,ワイド,1-6,1.1,1.2,1,success,saga_1R_m30_155500_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20,saga,1,16:25,30,15:55:00,2026-09-20 15:55:00,15:55:00,0.0,15:54,ワイド,1-7,9.5,13.9,12,success,saga_1R_m30_155500_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20,saga,1,16:25,30,15:55:00,2026-09-20 15:55:00,15:55:00,0.0,15:54,ワイド,2-3,8.4,9.8,11,success,saga_1R_m30_155500_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20,saga,1,16:25,30,15:55:00,2026-09-20 15:55:00,15:55:00,0.0,15:54,ワイド,2-4,5.1,6.0,8,success,saga_1R_m30_155500_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20,saga,1,16:25,30,15:55:00,2026-09-20 15:55:00,15:55:00,0.0,15:54,ワイド,2-5,23.7,26.5,20,success,saga_1R_m30_155500_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
2026-09-20,saga,1,16:25,30,15:55:00,2026-09-20 15:55:00,15:55:00,0.0,15:54,ワイド,2-6,1.7,2.5,2,success,saga_1R_m30_155500_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsWide?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=1
