race_date,track,race_no,start_time,minutes_before,target_time
2026-09-20,saga,1,16:25,30,15:55
2026-09-20,saga,1,16:25,15,16:10
2026-09-20,saga,1,16:25,10,16:15
2026-09-20,saga,1,16:25,5,16:20
2026-09-20,saga,1,16:25,2,16:23
2026-09-20,saga,2,17:00,30,16:30
2026-09-20,saga,2,17:00,15,16:45
2026-09-20,saga,2,17:00,10,16:50
2026-09-20,saga,2,17:00,5,16:55
2026-09-20,saga,2,17:00,2,16:58
2026-09-20,saga,3,17:35,30,17:05
2026-09-20,saga,3,17:35,15,17:20
2026-09-20,saga,3,17:35,10,17:25
2026-09-20,saga,3,17:35,5,17:30
2026-09-20,saga,3,17:35,2,17:33
2026-09-20,saga,4,18:05,30,17:35
2026-09-20,saga,4,18:05,15,17:50
2026-09-20,saga,4,18:05,10,17:55
2026-09-20,saga,4,18:05,5,18:00
2026-09-20,saga,4,18:05,2,18:03
2026-09-20,saga,5,18:35,30,18:05
2026-09-20,saga,5,18:35,15,18:20
2026-09-20,saga,5,18:35,10,18:25
2026-09-20,saga,5,18:35,5,18:30
2026-09-20,saga,5,18:35,2,18:33
2026-09-20,saga,6,19:05,30,18:35
2026-09-20,saga,6,19:05,15,18:50
2026-09-20,saga,6,19:05,10,18:55
2026-09-20,saga,6,19:05,5,19:00
2026-09-20,saga,6,19:05,2,19:03
2026-09-20,saga,7,19:35,30,19:05
2026-09-20,saga,7,19:35,15,19:20
2026-09-20,saga,7,19:35,10,19:25
2026-09-20,saga,7,19:35,5,19:30
2026-09-20,saga,7,19:35,2,19:33
2026-09-20,saga,8,20:10,30,19:40
2026-09-20,saga,8,20:10,15,19:55
2026-09-20,saga,8,20:10,10,20:00
2026-09-20,saga,8,20:10,5,20:05
2026-09-20,saga,8,20:10,2,20:08
2026-09-20,saga,9,20:40,30,20:10
2026-09-20,saga,9,20:40,15,20:25
2026-09-20,saga,9,20:40,10,20:30
2026-09-20,saga,9,20:40,5,20:35
2026-09-20,saga,9,20:40,2,20:38
