track,track_code,race_no,minutes_before,target_time,started_at,finished_at,status,returncode
urawa,18,1,30,2026-09-22T13:00:00+09:00,2026-09-22T13:00:00.000592+09:00,2026-09-22T13:00:05.989830+09:00,success,0
urawa,18,1,15,2026-09-22T13:15:00+09:00,2026-09-22T13:15:00.000567+09:00,2026-09-22T13:15:04.571750+09:00,success,0
urawa,18,1,10,2026-09-22T13:20:00+09:00,2026-09-22T13:20:00.000482+09:00,2026-09-22T13:20:07.551388+09:00,success,0
urawa,18,1,5,2026-09-22T13:25:00+09:00,2026-09-22T13:25:00.000407+09:00,2026-09-22T13:25:03.674311+09:00,success,0
urawa,18,1,2,2026-09-22T13:28:00+09:00,2026-09-22T13:28:00.000478+09:00,2026-09-22T13:28:04.080968+09:00,success,0
urawa,18,2,30,2026-09-22T13:30:00+09:00,2026-09-22T13:30:00.000514+09:00,2026-09-22T13:30:03.569809+09:00,success,0
urawa,18,2,15,2026-09-22T13:45:00+09:00,2026-09-22T13:46:41.211843+09:00,2026-09-22T13:46:42.313361+09:00,success,0
urawa,18,2,10,2026-09-22T13:50:00+09:00,2026-09-22T13:50:00.000492+09:00,2026-09-22T13:50:04.464436+09:00,success,0
urawa,18,2,5,2026-09-22T13:55:00+09:00,2026-09-22T13:55:00.000464+09:00,2026-09-22T13:55:02.677222+09:00,success,0
urawa,18,2,2,2026-09-22T13:58:00+09:00,2026-09-22T13:58:00.000456+09:00,2026-09-22T13:58:04.089609+09:00,success,0
urawa,18,3,30,2026-09-22T14:00:00+09:00,2026-09-22T14:00:00.000459+09:00,2026-09-22T14:00:08.105423+09:00,success,0
urawa,18,3,10,2026-09-22T14:22:00+09:00,2026-09-22T14:22:00.000487+09:00,2026-09-22T14:22:02.279463+09:00,success,0
urawa,18,3,5,2026-09-22T14:27:00+09:00,2026-09-22T14:27:00.000405+09:00,2026-09-22T14:27:04.577627+09:00,success,0
urawa,18,3,2,2026-09-22T14:30:00+09:00,2026-09-22T14:30:00.000634+09:00,2026-09-22T14:30:04.239267+09:00,success,0
kochi,31,1,15,2026-09-22T14:30:00+09:00,2026-09-22T14:30:00.000446+09:00,2026-09-22T14:30:04.806920+09:00,success,0
urawa,18,4,30,2026-09-22T14:30:00+09:00,2026-09-22T14:30:00.000814+09:00,2026-09-22T14:30:07.570211+09:00,success,0
kochi,31,1,10,2026-09-22T14:35:00+09:00,2026-09-22T14:35:00.000452+09:00,2026-09-22T14:35:04.929218+09:00,success,0
urawa,18,4,10,2026-09-22T14:52:00+09:00,2026-09-22T14:52:00.000573+09:00,2026-09-22T14:52:05.104137+09:00,success,0
kochi,31,2,30,2026-09-22T14:55:00+09:00,2026-09-22T14:55:00.000437+09:00,2026-09-22T14:55:05.243493+09:00,success,0
urawa,18,4,5,2026-09-22T14:57:00+09:00,2026-09-22T14:57:00.000470+09:00,2026-09-22T14:57:03.478996+09:00,success,0
urawa,18,4,2,2026-09-22T15:00:00+09:00,2026-09-22T15:00:00.000406+09:00,2026-09-22T15:00:06.318529+09:00,success,0
urawa,18,5,30,2026-09-22T15:00:00+09:00,2026-09-22T15:00:00.000618+09:00,2026-09-22T15:00:07.206844+09:00,success,0
kochi,31,2,15,2026-09-22T15:10:00+09:00,2026-09-22T15:10:00.000586+09:00,2026-09-22T15:10:05.813694+09:00,success,0
urawa,18,5,15,2026-09-22T15:15:00+09:00,2026-09-22T15:15:00.000769+09:00,2026-09-22T15:15:04.289716+09:00,success,0
kochi,31,2,10,2026-09-22T15:15:00+09:00,2026-09-22T15:15:00.000490+09:00,2026-09-22T15:15:05.563980+09:00,success,0
kochi,31,2,5,2026-09-22T15:20:00+09:00,2026-09-22T15:20:00.000457+09:00,2026-09-22T15:20:03.283580+09:00,success,0
urawa,18,5,10,2026-09-22T15:20:00+09:00,2026-09-22T15:20:00.000663+09:00,2026-09-22T15:20:04.667651+09:00,success,0
kochi,31,2,2,2026-09-22T15:23:00+09:00,2026-09-22T15:23:00.000484+09:00,2026-09-22T15:23:03.490570+09:00,success,0
urawa,18,5,2,2026-09-22T15:28:00+09:00,2026-09-22T15:28:00.000604+09:00,2026-09-22T15:28:04.429130+09:00,success,0
urawa,18,6,30,2026-09-22T15:30:00+09:00,2026-09-22T15:30:00.000485+09:00,2026-09-22T15:30:04.896178+09:00,success,0
kochi,31,3,15,2026-09-22T15:40:00+09:00,2026-09-22T15:40:00.000498+09:00,2026-09-22T15:40:05.386944+09:00,success,0
kochi,31,3,10,2026-09-22T15:45:00+09:00,2026-09-22T15:45:00.000490+09:00,2026-09-22T15:45:03.299706+09:00,success,0
urawa,18,6,15,2026-09-22T15:45:00+09:00,2026-09-22T15:45:00.000757+09:00,2026-09-22T15:45:05.594417+09:00,success,0
urawa,18,6,10,2026-09-22T15:50:00+09:00,2026-09-22T15:50:02.505299+09:00,2026-09-22T15:50:06.588865+09:00,success,0
kochi,31,3,5,2026-09-22T15:50:00+09:00,2026-09-22T15:50:02.505137+09:00,2026-09-22T15:50:07.139393+09:00,success,0
kochi,31,3,2,2026-09-22T15:53:00+09:00,2026-09-22T15:53:00.000407+09:00,2026-09-22T15:53:02.431482+09:00,success,0
urawa,18,6,5,2026-09-22T15:55:00+09:00,2026-09-22T15:55:00.000398+09:00,2026-09-22T15:55:05.215169+09:00,success,0
urawa,18,6,2,2026-09-22T15:58:00+09:00,2026-09-22T15:58:00.000354+09:00,2026-09-22T15:58:03.967438+09:00,success,0
kochi,31,4,30,2026-09-22T16:00:00+09:00,2026-09-22T16:00:00.000411+09:00,2026-09-22T16:00:07.663979+09:00,success,0
urawa,18,7,30,2026-09-22T16:05:00+09:00,2026-09-22T16:05:00.000410+09:00,2026-09-22T16:05:05.523574+09:00,success,0
kochi,31,4,5,2026-09-22T16:25:00+09:00,2026-09-22T16:25:00.000525+09:00,2026-09-22T16:25:03.673259+09:00,success,0
urawa,18,7,10,2026-09-22T16:25:00+09:00,2026-09-22T16:25:00.000744+09:00,2026-09-22T16:25:05.329475+09:00,success,0
kochi,31,4,2,2026-09-22T16:28:00+09:00,2026-09-22T16:28:00.000420+09:00,2026-09-22T16:28:04.282153+09:00,success,0
urawa,18,7,5,2026-09-22T16:30:00+09:00,2026-09-22T16:30:00.000488+09:00,2026-09-22T16:30:06.732433+09:00,success,0
urawa,18,7,2,2026-09-22T16:33:00+09:00,2026-09-22T16:33:00.000428+09:00,2026-09-22T16:33:03.669923+09:00,success,0
